density,loudness,brightness,roughness,speed
0.611743,0.582455,0.507714,0.209234,0.841403
0.609643,0.580241,0.506686,0.210140,0.839539
0.607310,0.577780,0.505545,0.211146,0.837468
0.604744,0.575074,0.504290,0.212253,0.835190
0.601944,0.572123,0.502920,0.213460,0.832705
0.598912,0.568925,0.501437,0.214769,0.830014
0.595647,0.565481,0.499839,0.216177,0.827115
0.592148,0.561792,0.498128,0.217686,0.824010
0.588417,0.557857,0.496302,0.219296,0.820698
0.584452,0.553676,0.494363,0.221006,0.817178
0.580485,0.549493,0.492422,0.222717,0.813658
0.576519,0.545311,0.490482,0.224429,0.810137
0.572552,0.541128,0.488541,0.226140,0.806616
0.568586,0.536945,0.486601,0.227851,0.803095
0.564619,0.532762,0.484660,0.229562,0.799574
0.560652,0.528579,0.482720,0.231273,0.796053
0.556686,0.524396,0.480779,0.232984,0.792532
0.552719,0.520213,0.478838,0.234695,0.789011
0.548752,0.516030,0.476898,0.236406,0.785490
0.544786,0.511847,0.474957,0.238118,0.781969
0.540819,0.507664,0.473017,0.239829,0.778448
0.536853,0.503481,0.471076,0.241540,0.774927
0.532886,0.499298,0.469136,0.243251,0.771406
0.528919,0.495115,0.467195,0.244962,0.767885
0.524953,0.490932,0.465255,0.246673,0.764365
0.520986,0.486750,0.463314,0.248384,0.760844
0.517019,0.482567,0.461374,0.250095,0.757323
0.513053,0.478384,0.459433,0.251807,0.753802
0.509086,0.474201,0.457493,0.253518,0.750281
0.505120,0.470018,0.455552,0.255229,0.746760
0.501153,0.465835,0.453612,0.256940,0.743239
0.497186,0.461652,0.451671,0.258651,0.739718
0.493220,0.457469,0.449730,0.260362,0.736197
0.489253,0.453286,0.447790,0.262073,0.732676
0.485286,0.449103,0.445849,0.263784,0.729155
0.481320,0.444920,0.443909,0.265496,0.725634
0.477353,0.440737,0.441968,0.267207,0.722113
0.473387,0.436554,0.440028,0.268918,0.718592
0.469420,0.432371,0.438087,0.270629,0.715072
0.465453,0.428189,0.436147,0.272340,0.711551
0.461487,0.424006,0.434206,0.274051,0.708030
0.457520,0.419823,0.432266,0.275762,0.704509
0.453553,0.415640,0.430325,0.277474,0.700988
0.449587,0.411457,0.428385,0.279185,0.697467
0.445620,0.407274,0.426444,0.280896,0.693946
0.441654,0.403091,0.424504,0.282607,0.690425
0.437687,0.398908,0.422563,0.284318,0.686904
0.433720,0.394725,0.420622,0.286029,0.683383
0.429754,0.390542,0.418682,0.287740,0.679862
0.425787,0.386359,0.416741,0.289451,0.676341
0.421820,0.382176,0.414801,0.291163,0.672820
0.417854,0.377993,0.412860,0.292874,0.669299
0.413887,0.373810,0.410920,0.294585,0.665778
0.409921,0.369628,0.408979,0.296296,0.662258
0.405954,0.365445,0.407039,0.298007,0.658737
0.401987,0.361262,0.405098,0.299718,0.655216
0.398021,0.357079,0.403158,0.301429,0.651695
0.394054,0.352896,0.401217,0.303140,0.648174
0.390087,0.348713,0.399277,0.304852,0.644653
0.386121,0.344530,0.397336,0.306563,0.641132
0.382154,0.340347,0.395396,0.308274,0.637611
0.378188,0.336164,0.393455,0.309985,0.634090
0.374221,0.331981,0.391514,0.311696,0.630569
0.370254,0.327798,0.389574,0.313407,0.627048
0.366288,0.323615,0.387633,0.315118,0.623527
0.362321,0.319432,0.385693,0.316829,0.620006
0.358354,0.315249,0.383752,0.318541,0.616485
0.354388,0.311066,0.381812,0.320252,0.612965
0.350421,0.306884,0.379871,0.321963,0.609444
0.346488,0.302723,0.377954,0.323670,0.605955
0.342953,0.298833,0.376316,0.325330,0.602862
0.339846,0.295233,0.374977,0.326941,0.600192
0.337167,0.291924,0.373938,0.328501,0.597945
0.334915,0.288905,0.373198,0.330011,0.596121
0.333092,0.286176,0.372757,0.331470,0.594721
0.331696,0.283737,0.372616,0.332880,0.593744
0.330728,0.281588,0.372775,0.334239,0.593190
0.330188,0.279730,0.373232,0.335548,0.593060
0.330075,0.278161,0.373990,0.336806,0.593353
0.330390,0.276883,0.375046,0.338015,0.594069
0.331133,0.275896,0.376403,0.339173,0.595208
0.332304,0.275198,0.378058,0.340282,0.596771
0.333903,0.274791,0.380013,0.341340,0.598757
0.335929,0.274674,0.382268,0.342347,0.601167
0.338383,0.274847,0.384822,0.343305,0.603999
0.341265,0.275310,0.387675,0.344212,0.607256
0.344543,0.276041,0.390805,0.345073,0.610903
0.347856,0.276797,0.393960,0.345930,0.614586
0.351169,0.277553,0.397116,0.346786,0.618269
0.354483,0.278309,0.400271,0.347643,0.621952
0.357796,0.279065,0.403426,0.348500,0.625635
0.361110,0.279821,0.406582,0.349356,0.629318
0.364423,0.280577,0.409737,0.350213,0.633001
0.367737,0.281333,0.412893,0.351070,0.636684
0.371050,0.282089,0.416048,0.351926,0.640367
0.374364,0.282845,0.419203,0.352783,0.644050
0.377677,0.283601,0.422359,0.353640,0.647733
0.380990,0.284357,0.425514,0.354496,0.651416
0.384304,0.285113,0.428670,0.355353,0.655100
0.387617,0.285869,0.431825,0.356210,0.658783
0.390931,0.286625,0.434980,0.357067,0.662466
0.394244,0.287381,0.438136,0.357923,0.666149
0.397558,0.288137,0.441291,0.358780,0.669832
0.400871,0.288893,0.444446,0.359637,0.673515
0.404185,0.289649,0.447602,0.360493,0.677198
0.407498,0.290405,0.450757,0.361350,0.680881
0.410811,0.291161,0.453913,0.362207,0.684564
0.414125,0.291918,0.457068,0.363063,0.688247
0.417438,0.292674,0.460223,0.363920,0.691930
0.420752,0.293430,0.463379,0.364777,0.695613
0.424065,0.294186,0.466534,0.365633,0.699296
0.427379,0.294942,0.469689,0.366490,0.702979
0.430692,0.295698,0.472845,0.367347,0.706662
0.434006,0.296454,0.476000,0.368203,0.710345
0.437319,0.297210,0.479156,0.369060,0.714028
0.440632,0.297966,0.482311,0.369917,0.717712
0.443946,0.298722,0.485466,0.370773,0.721395
0.447259,0.299478,0.488622,0.371630,0.725078
0.450573,0.300234,0.491777,0.372487,0.728761
0.453886,0.300990,0.494933,0.373343,0.732444
0.457200,0.301746,0.498088,0.374200,0.736127
0.460513,0.302502,0.501243,0.375057,0.739810
0.463827,0.303258,0.504399,0.375913,0.743493
0.467140,0.304014,0.507554,0.376770,0.747176
0.470453,0.304770,0.510709,0.377627,0.750859
0.473767,0.305526,0.513865,0.378483,0.754542
0.477080,0.306282,0.517020,0.379340,0.758225
0.480394,0.307038,0.520176,0.380197,0.761908
0.483707,0.307794,0.523331,0.381053,0.765591
0.487021,0.308550,0.526486,0.381910,0.769274
0.490334,0.309306,0.529642,0.382767,0.772957
0.493647,0.310062,0.532797,0.383623,0.776641
0.496961,0.310818,0.535952,0.384480,0.780324
0.500274,0.311574,0.539108,0.385337,0.784007
0.503588,0.312330,0.542263,0.386194,0.787690
0.506901,0.313086,0.545419,0.387050,0.791373
0.510215,0.313842,0.548574,0.387907,0.795056
0.513528,0.314598,0.551729,0.388764,0.798739
0.516842,0.315354,0.554885,0.389620,0.802422
0.520155,0.316110,0.558040,0.390477,0.806105
0.523468,0.316866,0.561196,0.391334,0.809788
0.526782,0.317622,0.564351,0.392190,0.813471
0.530095,0.318378,0.567506,0.393047,0.817154
0.533409,0.319134,0.570662,0.393904,0.820837
0.536722,0.319890,0.573817,0.394760,0.824520
0.540036,0.320646,0.576972,0.395617,0.828203
0.543278,0.321413,0.580090,0.396438,0.831854
0.546081,0.322251,0.582972,0.397035,0.835301
0.548379,0.323168,0.585584,0.397377,0.838514
0.550172,0.324167,0.587926,0.397462,0.841494
0.551460,0.325246,0.589998,0.397290,0.844239
0.552242,0.326405,0.591799,0.396862,0.846752
0.552519,0.327646,0.593330,0.396177,0.849030
0.552290,0.328966,0.594590,0.395237,0.851075
0.551556,0.330367,0.595580,0.394039,0.852885
0.550317,0.331849,0.596300,0.392585,0.854463
0.548573,0.333412,0.596750,0.390875,0.855806
0.546323,0.335054,0.596929,0.388908,0.856916
0.543569,0.336778,0.596838,0.386685,0.857792
0.540308,0.338582,0.596476,0.384206,0.858434
0.536543,0.340466,0.595844,0.381470,0.858842
0.532272,0.342432,0.594942,0.378477,0.859017
0.527496,0.344477,0.593770,0.375228,0.858958
0.522284,0.346592,0.592364,0.371758,0.858697
0.516998,0.348719,0.590919,0.368250,0.858402
0.511712,0.350846,0.589474,0.364743,0.858107
0.506427,0.352973,0.588028,0.361235,0.857812
0.501141,0.355100,0.586583,0.357727,0.857518
0.495855,0.357227,0.585138,0.354220,0.857223
0.490569,0.359354,0.583693,0.350712,0.856928
0.485283,0.361481,0.582248,0.347204,0.856633
0.479997,0.363608,0.580803,0.343697,0.856338
0.474712,0.365735,0.579357,0.340189,0.856043
0.469426,0.367862,0.577912,0.336681,0.855748
0.464140,0.369988,0.576467,0.333173,0.855453
0.458854,0.372115,0.575022,0.329666,0.855159
0.453568,0.374242,0.573577,0.326158,0.854864
0.448282,0.376369,0.572131,0.322650,0.854569
0.442997,0.378496,0.570686,0.319143,0.854274
0.437711,0.380623,0.569241,0.315635,0.853979
0.432425,0.382750,0.567796,0.312127,0.853684
0.427139,0.384877,0.566351,0.308620,0.853389
0.421853,0.387004,0.564905,0.305112,0.853094
0.416567,0.389131,0.563460,0.301604,0.852800
0.411282,0.391258,0.562015,0.298097,0.852505
0.405996,0.393385,0.560570,0.294589,0.852210
0.400710,0.395512,0.559125,0.291081,0.851915
0.395424,0.397638,0.557679,0.287574,0.851620
0.390138,0.399765,0.556234,0.284066,0.851325
0.384852,0.401892,0.554789,0.280558,0.851030
0.379566,0.404019,0.553344,0.277051,0.850735
0.374281,0.406146,0.551899,0.273543,0.850441
0.368995,0.408273,0.550453,0.270035,0.850146
0.363709,0.410400,0.549008,0.266528,0.849851
0.358423,0.412527,0.547563,0.263020,0.849556
0.353137,0.414654,0.546118,0.259512,0.849261
