density,loudness,brightness,roughness,speed
0.512129,0.604405,0.749669,0.534428,0.378441
0.511771,0.603249,0.749663,0.531541,0.382200
0.511374,0.601965,0.749656,0.528334,0.386377
0.510936,0.600552,0.749648,0.524806,0.390971
0.510459,0.599011,0.749640,0.520957,0.395983
0.509942,0.597342,0.749631,0.516787,0.401413
0.509385,0.595544,0.749621,0.512296,0.407261
0.508789,0.593617,0.749610,0.507485,0.413526
0.508153,0.591562,0.749599,0.502353,0.420208
0.507477,0.589379,0.749587,0.496900,0.427309
0.506801,0.587196,0.749575,0.491447,0.434409
0.506125,0.585013,0.749563,0.485995,0.441510
0.505449,0.582829,0.749551,0.480542,0.448610
0.504773,0.580646,0.749540,0.475089,0.455711
0.504097,0.578463,0.749528,0.469636,0.462811
0.503421,0.576280,0.749516,0.464184,0.469911
0.502745,0.574096,0.749504,0.458731,0.477012
0.502069,0.571913,0.749492,0.453278,0.484112
0.501393,0.569730,0.749480,0.447825,0.491213
0.500717,0.567546,0.749468,0.442372,0.498313
0.500042,0.565363,0.749456,0.436920,0.505413
0.499366,0.563180,0.749444,0.431467,0.512514
0.498690,0.560997,0.749432,0.426014,0.519614
0.498014,0.558813,0.749420,0.420561,0.526715
0.497338,0.556630,0.749408,0.415109,0.533815
0.496662,0.554447,0.749396,0.409656,0.540916
0.495986,0.552263,0.749385,0.404203,0.548016
0.495310,0.550080,0.749373,0.398750,0.555116
0.494634,0.547897,0.749361,0.393297,0.562217
0.493958,0.545714,0.749349,0.387845,0.569317
0.493282,0.543530,0.749337,0.382392,0.576418
0.492606,0.541347,0.749325,0.376939,0.583518
0.491930,0.539164,0.749313,0.371486,0.590619
0.491254,0.536980,0.749301,0.366034,0.597719
0.490578,0.534797,0.749289,0.360581,0.604819
0.489902,0.532614,0.749277,0.355128,0.611920
0.489226,0.530431,0.749265,0.349675,0.619020
0.488550,0.528247,0.749253,0.344222,0.626121
0.487874,0.526064,0.749242,0.338770,0.633221
0.487198,0.523881,0.749230,0.333317,0.640322
0.486523,0.521698,0.749218,0.327864,0.647422
0.485847,0.519514,0.749206,0.322411,0.654522
0.485171,0.517331,0.749194,0.316959,0.661623
0.484495,0.515148,0.749182,0.311506,0.668723
0.483819,0.512964,0.749170,0.306053,0.675824
0.483143,0.510781,0.749158,0.300600,0.682924
0.482467,0.508598,0.749146,0.295148,0.690025
0.481791,0.506415,0.749134,0.289695,0.697125
